timestamp,fr-%C3%89pid%C3%A9mie_de_chol%C3%A9ra,fr-Chloramph%C3%A9nicol,fr-Chloration_(d%C3%A9sinfection),fr-Chol%C3%A9ra,fr-Co-trimoxazole,fr-D%C3%A9shydratation,fr-Deuxi%C3%A8me_pand%C3%A9mie_de_chol%C3%A9ra,fr-Diarrh%C3%A9e,fr-Doxycycline,fr-Filtre_%C3%A0_eau,fr-Quinolone,fr-Solut%C3%A9_de_r%C3%A9hydratation_oral,fr-T%C3%A9tracycline,fr-Toxine_chol%C3%A9rique,fr-Traitement_primaire_de_l%27eau,fr-Troisi%C3%A8me_pand%C3%A9mie_de_chol%C3%A9ra_(1852-1860),fr-Vibrio_cholerae,fr-Vomissement,fr
2007-12-09 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-09 18:00:00,0,0,0,8,0,4,0,0,1,0,0,0,0,0,0,0,2,2,119570
2007-12-09 19:00:00,1,0,0,32,0,10,0,20,0,2,8,0,1,0,2,0,2,6,827838
2007-12-09 20:00:00,0,1,0,25,0,8,0,17,1,0,9,0,2,0,1,0,5,14,759124
2007-12-09 21:00:00,2,2,0,7,0,8,0,12,2,0,1,0,1,0,0,0,0,5,694033
2007-12-09 22:00:00,1,1,0,20,0,3,0,10,2,0,2,0,1,0,1,0,0,13,589306
2007-12-09 23:00:00,0,2,0,9,0,2,0,9,0,1,3,0,1,0,1,0,0,12,452479
2007-12-10 00:00:00,1,1,0,6,0,4,0,7,0,1,0,0,0,0,1,0,0,4,311291
2007-12-10 01:00:00,0,1,0,9,0,0,0,5,0,0,0,0,4,0,0,0,0,3,239548
2007-12-10 02:00:00,0,1,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,11,188241
2007-12-10 03:00:00,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9,157243
2007-12-10 04:00:00,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,3,136423
2007-12-10 05:00:00,0,1,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,3,123019
2007-12-10 06:00:00,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,125974
2007-12-10 07:00:00,0,0,0,2,0,0,0,5,2,0,5,0,1,0,0,0,0,2,144995
2007-12-10 08:00:00,0,0,0,4,0,2,0,7,0,0,0,0,0,0,0,0,0,4,263029
2007-12-10 09:00:00,1,2,0,12,1,6,0,9,2,0,2,0,2,0,1,0,0,8,433064
2007-12-10 10:00:00,0,0,0,29,0,5,0,16,3,1,2,0,3,0,0,0,3,3,552581
2007-12-10 11:00:00,3,4,0,15,1,10,0,13,5,1,2,0,0,0,1,0,2,8,652405
2007-12-10 12:00:00,1,1,0,6,0,3,0,22,3,1,1,0,0,0,0,0,2,5,540854
2007-12-10 13:00:00,0,0,0,10,0,6,0,15,6,0,2,0,0,0,0,0,1,6,625183
2007-12-10 14:00:00,0,2,0,34,4,8,0,27,1,0,4,0,1,0,0,0,5,11,761898
2007-12-10 15:00:00,0,1,0,22,0,7,0,22,3,0,4,0,1,0,1,0,5,8,807256
2007-12-10 16:00:00,0,5,0,26,0,8,0,18,8,0,11,0,0,0,1,0,7,9,858809
2007-12-10 17:00:00,1,6,0,15,0,10,0,14,3,2,7,0,0,0,3,0,0,8,868910
2007-12-10 18:00:00,1,5,0,35,0,10,0,15,3,0,9,0,2,0,1,0,2,12,923790
2007-12-10 19:00:00,1,0,0,32,0,11,0,12,1,0,6,0,3,0,0,0,9,14,848208
2007-12-10 20:00:00,2,1,0,38,0,5,0,20,4,0,3,0,3,0,2,0,1,3,808869
2007-12-10 21:00:00,1,1,0,34,0,18,0,26,0,1,3,0,2,0,1,0,1,10,804862
2007-12-10 22:00:00,1,0,0,16,0,3,0,9,1,0,2,0,2,0,0,0,0,5,646608
2007-12-10 23:00:00,1,3,0,8,0,6,0,9,2,0,1,0,3,0,0,0,0,5,465861
2007-12-11 00:00:00,0,0,0,5,0,5,0,6,1,0,2,0,0,0,0,0,0,6,315778
2007-12-11 01:00:00,0,0,0,4,0,9,0,6,0,0,0,0,0,0,0,0,0,1,229563
2007-12-11 02:00:00,0,1,0,7,0,1,0,4,0,0,0,0,2,0,0,0,0,7,186051
2007-12-11 03:00:00,0,0,0,5,0,2,0,8,0,0,0,0,0,0,0,0,0,0,161818
2007-12-11 04:00:00,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,2,0,145722
2007-12-11 05:00:00,0,0,0,4,0,1,0,2,0,0,2,0,0,0,0,0,0,1,118852
2007-12-11 06:00:00,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,122168
2007-12-11 07:00:00,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,152646
2007-12-11 08:00:00,0,1,0,17,0,5,0,4,4,0,0,0,0,0,2,0,1,6,292096
2007-12-11 09:00:00,1,1,0,5,0,6,0,7,2,0,4,0,3,0,0,0,0,4,461315
2007-12-11 10:00:00,0,0,0,8,1,11,0,8,4,1,3,0,2,0,2,0,5,9,563058
2007-12-11 11:00:00,0,0,0,9,0,5,0,9,0,1,5,0,0,0,2,0,0,1,641036
2007-12-11 12:00:00,0,2,0,9,1,6,0,9,2,1,1,0,1,0,1,0,0,7,548478
2007-12-11 13:00:00,1,2,0,11,0,3,0,22,3,1,5,0,1,0,0,0,0,3,619731
2007-12-11 14:00:00,1,1,0,15,0,7,0,20,0,0,1,0,2,0,1,0,5,8,741036
2007-12-11 15:00:00,0,8,0,16,0,17,0,11,5,1,9,0,1,0,2,0,2,10,785558
2007-12-11 16:00:00,3,0,0,14,0,12,0,20,12,0,9,0,1,0,1,0,1,11,811555
2007-12-11 17:00:00,0,2,0,16,0,12,0,12,5,0,4,0,1,0,1,0,3,6,795631
2007-12-11 18:00:00,0,1,0,21,1,8,0,9,4,1,3,0,2,0,3,0,0,5,805139
2007-12-11 19:00:00,2,1,0,24,0,6,0,6,1,0,3,0,0,0,3,0,3,9,743245
2007-12-11 20:00:00,0,1,0,6,0,14,0,13,1,0,1,0,2,0,0,0,5,5,682996
2007-12-11 21:00:00,0,0,0,11,0,35,0,17,1,1,1,0,1,0,0,0,4,9,678440
2007-12-11 22:00:00,0,4,0,7,0,9,0,12,0,0,3,0,3,0,0,0,2,11,612606
2007-12-11 23:00:00,0,0,0,21,0,5,0,4,0,0,2,0,0,0,0,0,4,11,457881
2007-12-12 00:00:00,0,1,0,2,0,5,0,5,0,0,1,0,2,0,1,0,0,2,313822
2007-12-12 01:00:00,0,0,0,5,0,3,0,1,1,1,1,0,0,0,0,0,1,2,259934
2007-12-12 02:00:00,0,0,0,1,0,1,0,1,1,0,2,0,3,0,0,0,0,2,198620
2007-12-12 03:00:00,0,4,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,174492
2007-12-12 04:00:00,0,2,0,3,0,0,0,4,0,1,0,0,0,0,0,0,1,2,142071
2007-12-12 05:00:00,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,2,125452
2007-12-12 06:00:00,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,4,126766
2007-12-12 07:00:00,0,0,0,2,0,1,0,3,2,0,0,0,1,0,0,0,0,3,166770
2007-12-12 08:00:00,0,0,0,13,0,1,0,5,1,0,1,0,1,0,0,0,3,6,281141
2007-12-12 09:00:00,0,0,0,5,0,2,0,11,2,2,3,0,2,0,2,0,6,4,441320
2007-12-12 10:00:00,1,2,0,5,0,3,0,9,0,1,2,0,3,0,0,0,0,3,555398
2007-12-12 11:00:00,0,1,0,6,1,7,0,12,1,0,2,0,0,0,1,0,0,2,642941
2007-12-12 12:00:00,0,1,0,4,0,6,0,7,0,0,1,0,3,0,3,0,0,7,522267
2007-12-12 13:00:00,0,0,0,19,1,3,0,16,2,1,2,0,3,0,2,0,2,4,637786
2007-12-12 14:00:00,0,2,0,24,2,12,0,11,3,0,4,0,1,0,0,0,1,3,796737
2007-12-12 15:00:00,0,2,0,30,0,6,0,7,6,1,2,0,0,0,0,0,1,6,847828
2007-12-12 16:00:00,0,4,0,36,0,7,0,24,4,1,4,0,4,0,1,0,5,8,852020
2007-12-12 17:00:00,0,1,0,12,0,12,0,12,3,1,3,0,2,0,3,0,4,10,844313
2007-12-12 18:00:00,1,2,0,33,0,7,0,19,3,0,4,0,1,0,0,0,8,9,791065
2007-12-12 19:00:00,0,2,0,11,1,8,0,11,1,2,6,0,5,0,1,0,7,6,729078
2007-12-12 20:00:00,1,0,0,12,0,2,0,19,6,0,1,0,1,0,0,0,0,5,699872
2007-12-12 21:00:00,0,5,0,15,0,6,0,17,2,0,2,0,1,0,1,0,3,12,696064
2007-12-12 22:00:00,1,5,0,14,0,6,0,12,2,0,1,0,3,0,1,0,0,6,584373
2007-12-12 23:00:00,1,0,0,8,0,4,0,11,1,0,4,0,1,0,1,0,2,6,463534
2007-12-13 00:00:00,1,0,0,5,0,2,0,4,0,0,3,0,0,0,0,0,0,4,298951
2007-12-13 01:00:00,2,0,0,4,0,1,0,2,0,0,1,0,3,0,0,0,0,2,215007
2007-12-13 02:00:00,0,0,0,4,0,1,0,10,0,0,1,0,3,0,0,0,0,8,192523
2007-12-13 03:00:00,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,1,2,157026
2007-12-13 04:00:00,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,1,2,245791
2007-12-13 05:00:00,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112754
