timestamp,no-Antibiotika,no-Antibiotikaresistens,no-BCG-vaksine,no-Feber,no-Isoniazid,no-Leprabasill,no-Mantoux-metoden,no-Mili%C3%A6rtuberkulose,no-Mycobacterium_tuberculosis,no-Trommestikkfingre,no-Tuberkulose,no
2007-12-09 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-09 18:00:00,0,0,0,0,0,0,0,0,0,0,0,6607
2007-12-09 19:00:00,1,0,0,1,0,0,0,0,2,0,1,49067
2007-12-09 20:00:00,2,0,1,4,0,0,0,0,0,0,3,54020
2007-12-09 21:00:00,0,0,0,3,0,0,0,0,1,0,2,51586
2007-12-09 22:00:00,1,0,1,3,0,0,0,0,1,0,7,48532
2007-12-09 23:00:00,5,0,1,5,0,0,0,0,0,0,2,39720
2007-12-10 00:00:00,1,0,0,1,0,0,0,0,0,0,2,30313
2007-12-10 01:00:00,0,0,0,1,0,0,0,0,0,0,0,23197
2007-12-10 02:00:00,2,0,0,1,0,0,1,0,0,0,0,18839
2007-12-10 03:00:00,1,0,0,0,0,0,0,0,0,0,0,17677
2007-12-10 04:00:00,0,0,0,2,0,0,0,0,0,0,0,17639
2007-12-10 05:00:00,0,0,0,0,0,0,0,0,0,0,0,16721
2007-12-10 06:00:00,0,0,0,1,0,0,0,0,0,0,0,19801
2007-12-10 07:00:00,1,0,0,0,0,0,0,0,0,0,0,18834
2007-12-10 08:00:00,3,0,0,3,0,0,1,0,0,0,3,42187
2007-12-10 09:00:00,4,0,1,4,0,0,0,0,0,0,2,54283
2007-12-10 10:00:00,2,0,0,2,0,1,0,0,0,0,3,61575
2007-12-10 11:00:00,2,0,0,1,0,0,0,0,0,0,1,50969
2007-12-10 12:00:00,2,0,0,0,0,0,0,0,0,0,0,64909
2007-12-10 13:00:00,1,0,1,4,0,0,0,0,0,0,9,65528
2007-12-10 14:00:00,1,0,1,3,0,0,0,0,0,0,2,54510
2007-12-10 15:00:00,1,0,0,2,0,0,1,0,1,0,0,54033
2007-12-10 16:00:00,2,0,0,0,0,0,0,0,0,0,1,51425
2007-12-10 17:00:00,0,0,0,2,0,0,0,0,0,0,6,52407
2007-12-10 18:00:00,1,0,1,1,0,0,0,0,0,0,2,54319
2007-12-10 19:00:00,3,0,0,0,0,0,0,0,0,0,1,52458
