timestamp,pl-%C5%9Awi%C5%84ska_grypa,pl-Amantadyna,pl-B%C3%B3l_g%C5%82owy,pl-Gor%C4%85czka,pl-Grypa,pl-H1N1,pl-H2N2,pl-H5N1,pl-H9N2,pl-Kaszel,pl-Leki_przeciwwirusowe,pl-Mialgia,pl-Nudno%C5%9Bci,pl-Ortomyksowirusy,pl-Oseltamiwir,pl-Paracetamol,pl-Przezi%C4%99bienie,pl-Ptasia_grypa,pl-Rymantadyna,pl-Szczepionka_przeciw_grypie,pl-Wirusowe_zaka%C5%BCenia_przewodu_pokarmowego,pl-Wymioty,pl-Zm%C4%99czenie,pl
2007-12-09 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-09 18:00:00,0,0,1,2,4,0,0,17,0,1,0,0,1,0,0,0,0,26,0,0,0,0,1,82827
2007-12-09 19:00:00,0,4,9,25,55,0,0,105,1,10,2,0,0,1,1,6,10,246,0,0,0,3,5,621351
2007-12-09 20:00:00,0,2,9,13,43,0,0,72,0,3,1,0,3,0,1,16,7,99,0,0,0,8,3,554138
2007-12-09 21:00:00,0,1,4,12,27,0,0,56,0,3,0,0,0,0,0,15,7,89,0,0,0,8,3,502353
2007-12-09 22:00:00,0,1,8,11,21,0,0,42,0,2,0,0,3,0,0,19,4,67,0,0,0,6,1,422142
2007-12-09 23:00:00,0,0,1,6,14,0,0,19,0,6,0,0,2,0,0,9,0,37,0,0,0,0,0,301621
2007-12-10 00:00:00,0,0,1,6,6,0,0,24,0,2,0,0,2,0,0,9,0,22,0,0,0,1,0,200266
2007-12-10 01:00:00,0,0,1,1,1,0,0,8,0,0,0,0,0,1,0,1,1,9,0,0,0,2,1,140695
2007-12-10 02:00:00,0,0,2,2,2,0,0,2,0,1,0,0,2,0,0,1,1,15,0,0,0,0,0,108316
2007-12-10 03:00:00,0,0,1,3,4,0,0,9,0,1,0,0,0,0,0,0,1,8,0,0,0,2,0,98609
2007-12-10 04:00:00,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,4,0,8,0,0,0,0,0,98300
2007-12-10 05:00:00,0,0,0,1,4,0,0,6,0,1,0,0,0,0,0,2,1,9,0,0,0,0,0,99137
2007-12-10 06:00:00,0,0,2,2,4,0,0,3,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,107032
2007-12-10 07:00:00,0,0,5,6,8,0,0,10,1,1,0,0,1,1,0,1,0,39,0,0,0,0,0,142627
2007-12-10 08:00:00,0,0,3,4,15,0,0,22,0,3,0,0,1,0,1,6,0,92,0,0,0,3,2,232706
2007-12-10 09:00:00,0,0,6,4,9,0,0,16,2,5,0,0,2,2,0,4,2,107,0,0,0,2,4,281950
2007-12-10 10:00:00,0,0,4,9,5,0,0,48,0,4,0,0,6,0,0,8,1,97,0,0,0,4,1,336632
2007-12-10 11:00:00,0,1,5,5,15,0,0,26,0,2,0,0,2,0,0,7,3,106,0,0,0,6,2,326076
2007-12-10 12:00:00,0,2,5,7,14,0,0,29,0,1,0,0,0,0,1,7,4,89,0,0,0,1,5,359802
2007-12-10 13:00:00,0,1,6,10,20,0,0,36,0,5,0,0,0,0,0,8,3,155,0,0,0,5,2,351778
2007-12-10 14:00:00,0,0,1,8,17,0,0,41,0,12,0,0,2,0,0,9,7,118,0,0,0,1,7,406033
2007-12-10 15:00:00,0,2,3,13,36,0,0,72,1,14,0,0,1,0,0,3,10,158,0,0,0,1,3,465190
2007-12-10 16:00:00,0,2,5,11,44,0,0,54,0,10,0,0,1,0,0,10,16,129,0,0,0,3,8,564814
2007-12-10 17:00:00,0,2,4,9,49,0,0,67,1,12,1,0,0,1,0,12,10,142,0,0,0,5,5,624532
2007-12-10 18:00:00,0,2,3,9,55,0,0,50,1,8,0,0,4,2,1,24,11,164,0,0,0,3,8,648280
2007-12-10 19:00:00,0,0,1,9,70,0,0,73,0,12,0,0,2,0,1,18,16,198,0,0,0,4,5,694520
2007-12-10 20:00:00,0,1,4,18,43,0,0,38,0,9,0,0,4,0,0,11,9,121,0,0,0,2,5,646044
2007-12-10 21:00:00,0,4,4,15,35,0,0,42,1,9,1,0,4,0,1,16,12,87,0,0,0,7,4,595492
2007-12-10 22:00:00,0,1,1,5,28,0,0,48,0,1,0,0,1,1,0,13,10,74,0,0,0,5,9,457120
2007-12-10 23:00:00,0,0,3,11,13,0,0,25,1,2,0,0,0,1,1,6,8,54,0,0,0,2,0,312808
2007-12-11 00:00:00,0,0,2,4,8,0,0,14,0,0,0,0,2,0,0,8,0,17,0,0,0,0,0,186424
2007-12-11 01:00:00,0,0,0,1,4,0,0,4,0,1,0,0,1,0,0,7,1,13,0,0,0,5,0,113875
2007-12-11 02:00:00,0,0,0,1,3,0,0,6,0,2,0,0,0,0,0,2,0,7,0,0,0,0,1,86067
2007-12-11 03:00:00,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,75922
2007-12-11 04:00:00,0,0,0,1,3,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,67632
2007-12-11 05:00:00,0,0,0,6,2,0,0,3,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,76343
2007-12-11 06:00:00,0,0,2,3,3,0,0,1,0,6,0,0,0,0,0,2,0,11,0,0,0,0,0,100504
2007-12-11 07:00:00,0,0,0,3,6,0,0,6,0,3,0,0,0,0,0,1,2,40,0,0,0,0,2,155749
2007-12-11 08:00:00,0,0,0,5,17,0,0,17,0,4,0,0,9,0,0,3,2,67,0,0,0,4,0,238650
2007-12-11 09:00:00,0,0,0,3,22,0,0,18,1,3,1,0,5,0,0,9,4,113,0,0,0,0,0,283704
2007-12-11 10:00:00,0,0,2,6,19,0,0,32,0,4,1,0,0,0,0,15,7,55,0,0,0,4,2,326456
2007-12-11 11:00:00,0,1,4,11,18,0,0,36,0,3,2,0,2,0,2,6,3,67,0,0,0,2,0,349345
2007-12-11 12:00:00,0,1,2,7,19,0,0,24,0,1,0,0,2,0,1,16,3,73,0,0,0,3,1,365193
2007-12-11 13:00:00,0,1,12,7,23,0,0,28,0,4,0,0,2,0,1,20,5,70,0,0,0,2,1,394141
2007-12-11 14:00:00,0,1,5,8,33,0,0,31,0,9,2,0,3,0,0,6,4,68,0,0,0,8,2,439537
2007-12-11 15:00:00,0,1,5,9,34,0,0,26,0,5,0,0,2,0,0,7,7,84,0,0,0,4,1,495254
2007-12-11 16:00:00,0,0,4,6,45,0,0,24,1,4,0,0,1,2,0,8,10,88,0,0,0,5,1,580873
2007-12-11 17:00:00,0,4,11,14,36,0,0,27,0,10,0,0,2,0,0,10,6,96,0,0,0,3,2,626111
2007-12-11 18:00:00,0,0,9,8,52,0,0,22,0,11,0,0,4,0,1,8,7,109,0,0,0,6,5,653469
2007-12-11 19:00:00,0,3,3,14,56,0,0,48,0,4,0,0,2,0,1,13,13,118,0,0,0,12,2,711285
2007-12-11 20:00:00,0,2,4,9,55,0,0,41,0,4,0,0,2,0,2,9,13,97,0,0,0,8,4,630841
2007-12-11 21:00:00,0,3,4,15,30,0,0,66,1,8,1,0,2,0,0,16,7,117,0,0,0,7,4,617290
2007-12-11 22:00:00,0,0,4,10,30,0,0,44,0,5,0,0,2,0,0,10,3,101,0,0,0,5,4,513625
2007-12-11 23:00:00,0,2,5,12,21,0,0,37,0,6,0,0,0,0,0,13,1,53,0,0,0,2,1,343936
2007-12-12 00:00:00,0,0,1,5,10,0,0,16,0,0,0,0,3,0,0,8,0,20,0,0,0,0,3,212746
2007-12-12 01:00:00,0,1,1,3,6,0,0,13,0,2,0,0,1,0,0,4,0,13,0,0,0,2,2,132554
2007-12-12 02:00:00,0,0,0,0,2,0,0,3,0,2,0,0,1,0,0,0,1,6,0,0,0,2,1,105484
2007-12-12 03:00:00,0,0,0,1,0,0,0,7,0,2,0,0,2,0,0,0,0,5,0,0,0,1,0,104391
2007-12-12 04:00:00,0,1,0,0,1,0,0,7,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,90003
2007-12-12 05:00:00,0,0,0,2,1,0,0,12,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,96656
2007-12-12 06:00:00,0,6,1,0,5,0,0,4,0,1,0,0,0,0,0,0,7,13,0,0,0,2,1,109691
2007-12-12 07:00:00,0,0,0,1,5,0,0,14,0,4,1,0,0,0,0,4,1,29,0,0,0,1,1,132786
2007-12-12 08:00:00,0,0,0,3,7,0,0,23,0,1,0,0,2,0,0,3,2,57,0,0,0,5,2,213578
2007-12-12 09:00:00,0,0,2,5,14,0,0,24,0,2,0,0,1,0,0,14,1,63,0,0,0,0,2,263963
2007-12-12 10:00:00,0,0,3,11,9,0,0,23,0,3,0,0,3,0,0,12,2,81,0,0,0,2,0,304113
2007-12-12 11:00:00,0,0,2,7,10,0,0,23,0,2,1,0,2,0,1,10,3,72,0,0,0,5,3,316687
2007-12-12 12:00:00,0,1,4,7,12,0,0,29,0,2,2,0,0,1,0,8,1,73,0,0,0,6,2,357661
2007-12-12 13:00:00,0,0,5,11,21,0,0,21,0,7,0,0,0,0,2,11,2,98,0,0,0,3,4,381913
2007-12-12 14:00:00,0,1,5,9,22,0,0,22,0,9,0,0,4,0,1,8,6,97,0,0,0,18,1,431453
2007-12-12 15:00:00,0,1,2,6,17,0,0,53,0,3,1,0,2,0,1,9,4,77,0,0,0,8,2,506023
2007-12-12 16:00:00,0,0,4,6,39,0,0,34,0,6,0,0,3,1,0,11,4,94,0,0,0,7,3,578800
2007-12-12 17:00:00,0,1,3,8,60,0,0,27,0,2,0,0,5,0,0,8,5,78,0,0,0,9,2,650087
2007-12-12 18:00:00,0,0,6,8,51,0,0,31,1,12,0,0,3,1,1,13,6,77,0,0,0,4,2,676225
2007-12-12 19:00:00,0,0,5,10,58,0,0,35,1,3,0,0,3,0,0,23,11,91,0,0,0,7,2,733069
2007-12-12 20:00:00,0,1,6,15,35,0,0,73,1,9,2,0,6,4,1,13,5,112,0,0,0,9,4,689224
2007-12-12 21:00:00,0,0,4,12,31,0,0,48,0,17,0,0,2,0,0,15,7,95,0,0,0,16,3,605054
2007-12-12 22:00:00,0,0,7,11,32,0,0,17,0,6,0,0,2,0,0,20,6,58,0,0,0,3,2,471621
2007-12-12 23:00:00,0,0,1,8,16,0,0,22,1,1,0,0,1,0,1,10,2,35,0,0,0,6,0,320894
2007-12-13 00:00:00,0,1,2,6,17,0,0,9,0,1,0,0,1,0,0,8,1,21,0,0,0,5,0,197436
2007-12-13 01:00:00,0,1,0,0,3,0,0,4,0,3,0,0,0,0,0,2,0,6,0,0,0,1,1,99385
2007-12-13 02:00:00,0,0,0,2,1,0,0,1,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,98944
2007-12-13 03:00:00,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,6,0,0,0,0,0,83456
2007-12-13 04:00:00,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,85373
2007-12-13 05:00:00,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,2,7,0,0,0,0,1,79617
2007-12-13 06:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,94441
2007-12-13 07:00:00,0,0,0,3,4,0,0,2,0,1,1,0,2,0,1,1,1,29,0,0,0,1,0,136227
2007-12-13 08:00:00,0,0,6,6,14,0,0,15,0,5,0,0,2,1,0,0,3,62,0,0,0,2,0,222512
2007-12-13 09:00:00,0,1,1,7,13,0,0,16,0,1,1,0,2,0,0,5,2,56,0,0,0,2,0,270411
2007-12-13 10:00:00,0,0,1,8,19,0,0,38,1,2,0,0,1,0,0,19,6,73,0,0,0,0,5,309719
2007-12-13 11:00:00,0,1,5,4,31,0,0,11,0,4,1,0,5,0,0,8,4,33,0,0,0,2,2,322476
2007-12-13 12:00:00,0,0,2,10,23,0,0,22,0,1,1,0,1,0,0,11,1,56,0,0,0,3,1,340163
2007-12-13 13:00:00,0,0,5,7,15,0,0,20,0,2,0,0,5,0,0,8,3,74,0,0,0,3,3,372615
2007-12-13 14:00:00,0,0,10,5,14,0,0,14,0,3,0,0,3,0,0,6,2,40,0,0,0,4,4,429526
2007-12-13 15:00:00,0,0,9,20,22,0,0,58,0,4,1,0,0,0,0,12,3,60,0,0,0,4,0,474591
2007-12-13 16:00:00,0,1,3,9,31,0,0,18,0,7,1,0,1,0,0,11,3,83,0,0,0,9,3,559804
2007-12-13 17:00:00,0,0,6,10,44,0,0,33,0,7,0,0,4,0,0,17,4,67,0,0,0,6,3,589175
2007-12-13 18:00:00,0,1,6,10,36,0,0,24,0,5,1,0,6,0,1,15,7,80,0,0,0,12,6,621328
2007-12-13 19:00:00,0,0,6,13,40,0,0,47,0,3,0,0,2,0,1,13,5,107,0,0,0,7,3,678128
2007-12-13 20:00:00,0,0,3,11,35,0,0,39,0,3,1,0,4,0,0,14,2,117,0,0,0,10,0,659433
2007-12-13 21:00:00,0,1,11,20,38,0,0,21,0,12,0,0,4,0,1,19,8,75,0,0,0,3,1,621772
2007-12-13 22:00:00,0,0,3,11,43,0,0,25,0,6,0,0,4,0,0,13,4,57,0,0,0,5,1,485214
2007-12-13 23:00:00,0,1,7,8,9,0,0,16,0,3,1,0,0,0,1,19,1,37,0,0,0,5,5,331164
2007-12-14 00:00:00,0,0,3,2,6,0,0,14,0,4,0,0,0,0,0,3,0,10,0,0,0,3,1,208611
2007-12-14 01:00:00,0,0,0,2,3,0,0,3,0,1,0,0,0,0,0,3,0,8,0,0,0,1,1,139552
2007-12-14 02:00:00,0,1,0,2,3,0,0,1,0,1,0,0,0,0,1,1,0,4,0,0,0,2,0,115122
2007-12-14 03:00:00,0,0,1,1,3,0,0,2,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,97333
2007-12-14 04:00:00,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,94209
2007-12-14 05:00:00,0,1,1,0,4,0,0,2,0,0,1,0,0,0,1,1,0,2,0,0,0,1,1,92132
2007-12-14 06:00:00,0,1,0,3,3,0,0,1,0,1,0,0,0,0,0,2,0,11,0,0,0,3,1,108944
2007-12-14 07:00:00,0,0,0,2,5,0,0,7,0,0,0,0,2,0,0,1,1,22,0,0,0,6,0,142911
2007-12-14 08:00:00,0,0,1,4,14,0,0,15,0,4,0,0,0,0,0,10,0,45,0,0,0,1,1,219925
2007-12-14 09:00:00,0,1,1,11,8,0,0,7,2,6,1,0,2,1,1,8,1,35,0,0,0,7,0,266120
2007-12-14 10:00:00,0,0,2,8,18,0,0,8,0,7,0,0,1,1,0,6,0,51,0,0,0,2,1,299531
2007-12-14 11:00:00,0,0,8,12,19,0,0,6,0,5,1,0,9,0,0,6,3,33,0,0,0,3,17,339929
2007-12-14 12:00:00,0,0,3,5,18,0,0,5,0,5,0,0,2,2,0,10,2,52,0,0,0,8,5,372413
2007-12-14 13:00:00,0,0,6,5,11,0,0,17,0,4,1,0,1,0,0,14,0,50,0,0,0,9,1,389134
2007-12-14 14:00:00,0,0,0,6,12,0,0,16,0,9,0,0,4,0,0,15,2,44,0,0,0,3,3,400154
2007-12-14 15:00:00,0,0,5,10,10,0,0,24,0,4,0,0,4,0,0,10,5,34,0,0,0,4,2,390157
2007-12-14 16:00:00,0,1,4,14,10,0,0,20,1,1,0,0,4,0,1,10,2,29,0,0,0,2,1,366407
2007-12-14 17:00:00,0,2,2,5,22,0,0,20,0,0,0,0,1,0,0,5,4,40,0,0,0,5,2,368928
2007-12-14 18:00:00,0,1,2,11,18,0,0,13,0,3,0,0,2,0,1,8,6,32,0,0,0,7,4,368532
2007-12-14 19:00:00,0,0,14,14,23,0,0,18,0,2,0,0,8,0,0,5,2,39,0,0,0,6,5,406579
2007-12-14 20:00:00,0,0,11,11,13,0,0,20,0,3,0,0,5,0,0,6,1,55,0,0,0,3,1,395897
2007-12-14 21:00:00,0,0,3,11,12,0,0,11,0,3,0,0,0,2,0,6,2,34,0,0,0,7,1,412480
2007-12-14 22:00:00,0,2,7,13,15,0,0,8,0,6,0,0,3,0,0,14,8,24,0,0,0,3,3,380009
2007-12-14 23:00:00,0,0,3,6,8,0,0,8,0,5,0,0,1,0,1,3,1,23,0,0,0,1,5,284536
2007-12-15 00:00:00,0,0,2,2,1,0,0,6,0,1,0,0,0,0,0,3,1,8,0,0,0,2,1,210928
2007-12-15 01:00:00,0,0,1,5,1,0,0,6,0,3,0,0,1,0,0,7,0,6,0,0,0,2,1,166690
2007-12-15 02:00:00,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,130561
2007-12-15 03:00:00,0,0,0,1,4,0,0,1,0,2,0,0,1,0,0,1,0,5,0,0,0,1,0,121715
2007-12-15 04:00:00,0,1,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,110116
2007-12-15 05:00:00,0,0,2,1,3,0,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,97844
2007-12-15 06:00:00,0,0,1,2,1,0,0,4,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,92937
2007-12-15 07:00:00,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,106053
2007-12-15 08:00:00,0,0,3,0,4,0,0,3,0,1,0,0,2,0,0,4,1,8,0,0,0,3,0,131638
2007-12-15 09:00:00,0,0,0,2,6,0,0,6,0,5,0,0,1,0,0,6,1,27,0,0,0,2,1,192180
2007-12-15 10:00:00,0,1,1,5,11,0,0,14,0,0,0,0,2,1,1,9,5,34,0,0,0,1,1,256016
2007-12-15 11:00:00,0,1,2,5,23,0,0,10,0,1,0,0,3,0,3,8,3,29,0,0,0,4,1,324126
2007-12-15 12:00:00,0,1,2,4,23,0,0,12,0,2,1,0,2,0,1,15,3,33,0,0,0,3,2,360265
2007-12-15 13:00:00,0,1,6,9,9,0,0,12,0,1,0,0,0,0,0,17,2,36,0,0,0,11,3,387989
2007-12-15 14:00:00,0,0,4,3,22,0,0,9,0,2,0,0,2,0,0,16,3,44,0,0,0,7,9,412490
2007-12-15 15:00:00,0,0,6,8,32,0,0,18,0,2,0,0,0,0,1,6,2,56,0,0,0,3,4,419915
2007-12-15 16:00:00,0,0,3,6,20,0,0,13,0,2,0,0,0,1,0,14,2,38,0,0,0,3,3,431059
2007-12-15 17:00:00,0,2,0,8,24,0,0,21,0,4,0,0,2,1,2,11,4,62,0,0,0,4,0,442597
2007-12-15 18:00:00,0,0,3,7,26,0,0,19,0,4,0,0,2,0,0,13,1,35,0,0,0,7,2,446440
2007-12-15 19:00:00,0,0,6,14,30,0,0,22,0,4,0,0,2,1,0,23,4,55,0,0,0,10,1,461468
2007-12-15 20:00:00,0,0,3,7,18,0,0,16,0,12,0,0,4,0,0,12,10,58,0,0,0,9,2,459062
2007-12-15 21:00:00,0,0,4,9,20,0,0,22,0,1,0,0,1,1,2,14,2,35,0,0,0,7,1,430310
2007-12-15 22:00:00,0,1,3,5,17,0,0,15,0,3,0,0,2,1,0,15,2,36,0,0,0,3,2,396056
2007-12-15 23:00:00,0,0,2,6,5,0,0,13,0,2,0,0,4,0,0,20,0,23,0,0,0,4,2,352462
2007-12-16 00:00:00,0,0,3,4,13,0,0,4,0,1,0,0,1,0,0,10,1,9,0,0,0,3,3,251603
2007-12-16 01:00:00,0,0,2,2,6,0,0,6,0,1,0,0,0,0,0,1,1,8,0,0,0,1,0,180185
2007-12-16 02:00:00,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,7,0,5,0,0,0,0,0,126665
2007-12-16 03:00:00,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,107808
2007-12-16 04:00:00,0,0,0,1,1,0,0,2,0,5,0,0,1,0,0,3,0,1,0,0,0,2,0,97905
2007-12-16 05:00:00,0,0,0,1,3,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,93225
2007-12-16 06:00:00,0,0,1,2,0,0,0,2,0,1,1,0,1,0,0,0,0,2,0,0,0,1,1,90396
2007-12-16 07:00:00,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,94676
2007-12-16 08:00:00,0,0,0,2,9,0,0,11,0,0,0,0,0,0,1,3,0,9,0,0,0,4,0,139205
2007-12-16 09:00:00,0,0,2,6,11,0,0,9,0,5,0,0,1,0,0,2,2,34,0,0,0,3,1,212424
2007-12-16 10:00:00,0,0,3,4,18,0,0,5,0,3,0,0,1,0,1,5,3,35,0,0,0,6,1,324878
