timestamp,th-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%89%E0%B8%B5%E0%B8%94%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%94%E0%B8%B3,th-%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%81,th-%E0%B8%9B%E0%B8%A7%E0%B8%94%E0%B8%A8%E0%B8%B5%E0%B8%A3%E0%B8%A9%E0%B8%B0,th-%E0%B8%9B%E0%B8%A7%E0%B8%94%E0%B9%83%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%AD,th-%E0%B8%9C%E0%B8%B7%E0%B9%88%E0%B8%99,th-%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%8B%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%A5,th-%E0%B8%A2%E0%B8%B2%E0%B8%86%E0%B9%88%E0%B8%B2%E0%B9%81%E0%B8%A1%E0%B8%A5%E0%B8%87,th-%E0%B8%A2%E0%B8%B2%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%84%E0%B8%A7%E0%B8%A3%E0%B8%B1%E0%B8%AA,th-%E0%B8%A2%E0%B8%B8%E0%B8%87,th-%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%A7%E0%B8%A1,th-%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%AD%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B8%9A,th-%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B1%E0%B8%99,th-%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%87%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A2,th-%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%AD%E0%B8%AD%E0%B8%81,th-%E0%B9%82%E0%B8%A3%E0%B8%84%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%95%E0%B8%B1%E0%B8%9A,th-%E0%B9%84%E0%B8%82%E0%B9%89,th-%E0%B9%84%E0%B8%82%E0%B9%89%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%87%E0%B8%81%E0%B8%B5,th
2007-12-09 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-09 18:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,946
2007-12-09 19:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6715
2007-12-09 20:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5756
2007-12-09 21:00:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4163
2007-12-09 22:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5026
2007-12-09 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4625
2007-12-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7905
2007-12-10 01:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12771
2007-12-10 02:00:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19102
2007-12-10 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26773
2007-12-10 04:00:00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,29856
2007-12-10 05:00:00,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,35763
2007-12-10 06:00:00,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,27853
2007-12-10 07:00:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,28294
2007-12-10 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28642
2007-12-10 09:00:00,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,29865
2007-12-10 10:00:00,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,26875
2007-12-10 11:00:00,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,26403
2007-12-10 12:00:00,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,23612
2007-12-10 13:00:00,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,24551
2007-12-10 14:00:00,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,26845
2007-12-10 15:00:00,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,23092
2007-12-10 16:00:00,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,19028
2007-12-10 17:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14211
2007-12-10 18:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8319
2007-12-10 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5997
