timestamp,th-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%89%E0%B8%B5%E0%B8%94%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%94%E0%B8%B3,th-%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%81,th-%E0%B8%9B%E0%B8%A7%E0%B8%94%E0%B8%A8%E0%B8%B5%E0%B8%A3%E0%B8%A9%E0%B8%B0,th-%E0%B8%9B%E0%B8%A7%E0%B8%94%E0%B9%83%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%AD,th-%E0%B8%9C%E0%B8%B7%E0%B9%88%E0%B8%99,th-%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%8B%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%A5,th-%E0%B8%A2%E0%B8%B2%E0%B8%86%E0%B9%88%E0%B8%B2%E0%B9%81%E0%B8%A1%E0%B8%A5%E0%B8%87,th-%E0%B8%A2%E0%B8%B2%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%84%E0%B8%A7%E0%B8%A3%E0%B8%B1%E0%B8%AA,th-%E0%B8%A2%E0%B8%B8%E0%B8%87,th-%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%A7%E0%B8%A1,th-%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%AD%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B8%9A,th-%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B1%E0%B8%99,th-%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%87%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A,th-%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%AD%E0%B8%AD%E0%B8%81,th-%E0%B9%82%E0%B8%A3%E0%B8%84%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%95%E0%B8%B1%E0%B8%9A,th-%E0%B9%84%E0%B8%82%E0%B9%89,th-combined,th
12/9/07 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/9/07 18:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,946
12/9/07 19:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6715
12/9/07 20:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5756
12/9/07 21:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4163
12/9/07 22:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5026
12/9/07 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4625
12/10/07 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7905
12/10/07 1:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12771
12/10/07 2:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19102
12/10/07 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26773
12/10/07 4:00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,29856
12/10/07 5:00,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,35763
12/10/07 6:00,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,27853
12/10/07 7:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,28294
12/10/07 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28642
12/10/07 9:00,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,29865
12/10/07 10:00,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,26875
12/10/07 11:00,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,26403
12/10/07 12:00,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,23612
12/10/07 13:00,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,24551
12/10/07 14:00,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,26845
12/10/07 15:00,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,23092
12/10/07 16:00,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,19028
12/10/07 17:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14211
12/10/07 18:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8319
12/10/07 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5997
