timestamp,zh-%E4%BA%BA%E9%A1%9E%E5%85%8D%E7%96%AB%E7%BC%BA%E9%99%B7%E7%97%85%E6%AF%92,zh-%E5%82%B3%E6%9F%93%E6%80%A7%E5%96%AE%E6%A0%B8%E7%99%BD%E8%A1%80%E7%90%83%E5%A2%9E%E5%A4%9A%E7%97%87,zh-%E5%87%8F%E8%82%A5,zh-%E5%8F%91%E7%83%AD,zh-%E5%AD%90%E5%AE%AE%E9%A0%B8%E7%99%8C,zh-%E5%AE%89%E5%85%A8%E6%80%A7%E8%A1%8C%E7%82%BA,zh-%E6%83%A1%E7%97%85%E9%AB%94%E8%B3%AA,zh-%E6%85%A2%E7%97%85%E6%AF%92%E5%B1%AC,zh-%E6%8A%97%E5%8F%8D%E8%BD%89%E9%8C%84%E7%97%85%E6%AF%92%E8%97%A5%E7%89%A9,zh-%E6%8B%89%E7%B1%B3%E5%A4%AB%E5%AE%9A,zh-%E7%96%B9,zh-%E8%89%BE%E6%BB%8B%E7%97%85,zh-%E8%9B%8B%E7%99%BD%E9%85%B6%E6%8A%91%E5%88%B6%E5%89%82,zh-%E9%80%86%E8%BD%AC%E5%BD%95%E7%97%85%E6%AF%92,zh-%E9%80%86%E8%BD%AC%E5%BD%95%E9%85%B6%E6%8A%91%E5%88%B6%E5%89%82,zh-%E9%BD%90%E5%A4%9A%E5%A4%AB%E5%AE%9A,zh-HIV%E6%AA%A2%E6%B8%AC,zh
2007-12-09 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-09 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4463
2007-12-09 19:00:00,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,35832
2007-12-09 20:00:00,2,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,27283
2007-12-09 21:00:00,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,26694
2007-12-09 22:00:00,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,27861
2007-12-09 23:00:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30253
2007-12-10 00:00:00,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29121
2007-12-10 01:00:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,37434
2007-12-10 02:00:00,2,0,1,1,0,0,0,0,2,0,0,2,0,1,0,0,0,48588
2007-12-10 03:00:00,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,58250
2007-12-10 04:00:00,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,64555
2007-12-10 05:00:00,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,56612
2007-12-10 06:00:00,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,69280
2007-12-10 07:00:00,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,56539
2007-12-10 08:00:00,1,0,0,0,5,1,0,0,1,0,0,2,0,0,0,0,0,50202
2007-12-10 09:00:00,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,54377
2007-12-10 10:00:00,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,53993
2007-12-10 11:00:00,4,0,1,0,2,0,1,0,0,0,0,4,0,0,0,0,0,69846
2007-12-10 12:00:00,4,0,0,0,1,1,0,0,0,0,0,4,0,3,0,0,0,75081
2007-12-10 13:00:00,3,0,0,0,3,3,0,0,1,0,0,5,0,0,0,0,0,77878
2007-12-10 14:00:00,5,0,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,62741
2007-12-10 15:00:00,2,0,2,1,4,2,0,0,0,0,0,5,0,1,0,0,0,73379
2007-12-10 16:00:00,1,0,0,0,3,0,0,0,0,1,0,2,0,2,0,0,1,79246
2007-12-10 17:00:00,0,0,0,0,3,3,2,0,0,0,0,3,0,0,0,1,0,73808
2007-12-10 18:00:00,2,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,57428
2007-12-10 19:00:00,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,45598
2007-12-10 20:00:00,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,27936
2007-12-10 21:00:00,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,25989
2007-12-10 22:00:00,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24795
2007-12-10 23:00:00,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,29677
2007-12-11 00:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28965
2007-12-11 01:00:00,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,35489
2007-12-11 02:00:00,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,53513
2007-12-11 03:00:00,1,0,0,0,3,1,1,0,0,0,0,7,1,0,0,0,0,52889
2007-12-11 04:00:00,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,55707
2007-12-11 05:00:00,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,57531
2007-12-11 06:00:00,2,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,56894
2007-12-11 07:00:00,1,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,1,71696
2007-12-11 08:00:00,3,0,0,0,5,0,1,0,1,0,0,2,0,1,0,0,0,59318
2007-12-11 09:00:00,0,0,0,1,1,4,0,0,0,0,0,3,0,0,0,0,0,75372
2007-12-11 10:00:00,3,0,0,0,3,1,0,1,0,1,0,0,1,0,0,0,0,70889
2007-12-11 11:00:00,3,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,63455
2007-12-11 12:00:00,2,0,0,1,2,3,1,0,0,0,0,0,0,1,0,1,0,72716
2007-12-11 13:00:00,1,0,0,2,4,1,0,0,1,0,0,1,0,0,0,0,0,79874
2007-12-11 14:00:00,5,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,67275
2007-12-11 15:00:00,1,0,0,0,7,1,0,0,0,0,0,2,0,1,0,0,0,74097
2007-12-11 16:00:00,4,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,1,73653
2007-12-11 17:00:00,3,0,1,0,4,2,0,0,0,1,0,0,0,0,0,1,0,80654
2007-12-11 18:00:00,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,72727
2007-12-11 19:00:00,2,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,39116
2007-12-11 20:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,29837
2007-12-11 21:00:00,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,36074
2007-12-11 22:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,37848
2007-12-11 23:00:00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38022
2007-12-12 00:00:00,3,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,33531
2007-12-12 01:00:00,5,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,37474
2007-12-12 02:00:00,1,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,48664
2007-12-12 03:00:00,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,66167
2007-12-12 04:00:00,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,57707
2007-12-12 05:00:00,3,0,0,1,8,1,0,1,0,0,0,3,0,1,0,0,0,60992
2007-12-12 06:00:00,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,63760
2007-12-12 07:00:00,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,67953
2007-12-12 08:00:00,2,0,3,0,2,0,1,0,0,0,0,2,0,0,0,0,0,56591
2007-12-12 09:00:00,3,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,70107
2007-12-12 10:00:00,4,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,74283
2007-12-12 11:00:00,3,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,71460
2007-12-12 12:00:00,2,0,0,0,2,3,1,1,0,1,0,5,0,1,0,1,0,78650
2007-12-12 13:00:00,2,0,0,0,2,1,0,0,2,0,0,3,0,0,0,0,1,80942
2007-12-12 14:00:00,1,0,1,1,5,1,0,0,0,1,0,9,0,0,0,0,0,67234
2007-12-12 15:00:00,1,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,77359
2007-12-12 16:00:00,1,0,1,1,4,1,0,0,0,0,0,6,0,0,0,0,0,81630
2007-12-12 17:00:00,1,0,0,1,2,0,0,0,0,0,0,6,1,1,0,1,0,80338
2007-12-12 18:00:00,0,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,1,47929
2007-12-12 19:00:00,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38346
2007-12-12 20:00:00,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,31371
2007-12-12 21:00:00,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,28946
2007-12-12 22:00:00,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28899
2007-12-12 23:00:00,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,33245
2007-12-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,32647
2007-12-13 01:00:00,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,34354
2007-12-13 02:00:00,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,44912
2007-12-13 03:00:00,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,54822
2007-12-13 04:00:00,4,0,0,1,0,5,0,0,0,0,0,3,0,3,0,0,0,68688
2007-12-13 05:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,55736
2007-12-13 06:00:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,57778
2007-12-13 07:00:00,3,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0,0,60565
2007-12-13 08:00:00,1,0,0,0,2,0,0,2,0,0,0,5,0,0,0,0,0,60191
2007-12-13 09:00:00,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,66303
2007-12-13 10:00:00,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,67528
2007-12-13 11:00:00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,81378
2007-12-13 12:00:00,1,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,87532
2007-12-13 13:00:00,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,89282
2007-12-13 14:00:00,1,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0,0,71280
2007-12-13 15:00:00,4,0,1,1,5,1,0,0,0,0,0,8,0,0,0,0,0,79984
2007-12-13 16:00:00,2,0,0,0,1,0,1,0,0,2,0,8,0,0,0,1,1,86051
2007-12-13 17:00:00,5,0,0,1,1,1,0,0,2,0,0,11,0,3,0,0,0,78193
2007-12-13 18:00:00,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,45080
2007-12-13 19:00:00,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,35351
2007-12-13 20:00:00,3,0,0,0,1,0,0,0,0,1,0,6,0,1,0,0,0,33411
2007-12-13 21:00:00,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,34887
2007-12-13 22:00:00,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,32284
2007-12-13 23:00:00,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,34090
2007-12-14 00:00:00,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,32652
2007-12-14 01:00:00,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,40450
2007-12-14 02:00:00,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,50127
2007-12-14 03:00:00,0,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,57772
2007-12-14 04:00:00,0,0,5,1,2,2,0,1,1,0,0,1,0,0,0,0,0,62580
2007-12-14 05:00:00,4,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,57658
2007-12-14 06:00:00,2,0,1,0,1,2,0,0,0,0,0,2,0,1,0,0,0,61211
2007-12-14 07:00:00,2,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,53288
2007-12-14 08:00:00,3,0,0,2,2,0,0,0,1,0,0,3,0,1,0,0,0,52347
2007-12-14 09:00:00,0,0,0,0,3,0,0,0,1,0,0,5,0,1,0,0,0,53427
2007-12-14 10:00:00,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,50123
2007-12-14 11:00:00,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,64435
2007-12-14 12:00:00,4,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,66615
2007-12-14 13:00:00,0,0,0,0,5,1,0,0,0,0,0,10,1,1,0,0,0,79242
2007-12-14 14:00:00,1,0,0,0,4,1,1,0,0,0,0,10,0,0,0,0,0,56396
